id,user_id,created_at,updated_at,start,end,timezone_offset,sport_id,score_state,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_duration.zone_zero_milli,score.zone_duration.zone_one_milli,score.zone_duration.zone_two_milli,score.zone_duration.zone_three_milli,score.zone_duration.zone_four_milli,score.zone_duration.zone_five_milli,score
548738877,96842,2022-11-15T16:34:34.849Z,2022-11-15T16:34:40.469Z,2022-11-15T15:30:35.584Z,2022-11-15T16:02:23.784Z,-06:00,0,SCORED,10.1234,139.0,183.0,1331.4171,100.0,0.0,0.0,0.0,0.0,283587.0,658536.0,322040.0,609470.0,34606.0,
547658168,96842,2022-11-14T00:33:39.299Z,2022-11-14T00:33:45.450Z,2022-11-13T23:33:23.057Z,2022-11-14T00:02:01.835Z,-05:00,0,SCORED,12.0476,158.0,182.0,1636.1093,100.0,0.0,0.0,0.0,0.0,31762.0,9613.0,576787.0,1067968.0,32686.0,
533600058,96842,2022-10-22T02:20:34.197Z,2022-10-22T02:20:40.767Z,2022-10-22T00:47:25.443Z,2022-10-22T01:46:46.103Z,-05:00,0,SCORED,14.1039,149.0,185.0,2949.4797,100.0,0.0,0.0,0.0,0.0,232674.0,717138.0,903636.0,1688024.0,19227.0,
533003925,96842,2022-10-21T03:25:54.842Z,2022-10-22T13:56:28.152Z,2022-10-21T01:25:49.937Z,2022-10-21T03:00:27.433Z,-05:00,101,SCORED,11.8461,125.0,154.0,2937.9045,100.0,0.0,0.0,0.0,85595.0,1623648.0,2545551.0,1422741.0,0.0,0.0,
531718361,96842,2022-10-19T01:11:09.087Z,2022-10-19T01:11:14.571Z,2022-10-19T00:17:04.393Z,2022-10-19T00:38:18.128Z,-05:00,0,SCORED,11.8088,165.0,192.0,1334.7019,100.0,0.0,0.0,0.0,0.0,8690.0,21149.0,153811.0,887286.0,202838.0,
527987227,96842,2022-10-13T01:29:16.011Z,2022-10-13T01:29:21.779Z,2022-10-13T00:33:44.284Z,2022-10-13T01:04:00.168Z,-05:00,0,SCORED,11.7272,147.0,186.0,1521.7135,100.0,0.0,0.0,0.0,75982.0,268206.0,115355.0,281651.0,1020894.0,53835.0,
527342207,96842,2022-10-12T01:49:30.023Z,2022-10-12T01:49:35.873Z,2022-10-12T00:17:21.161Z,2022-10-12T01:15:00.914Z,-05:00,0,SCORED,13.7139,141.0,185.0,2561.941,100.0,0.0,0.0,0.0,13458.0,990148.0,402829.0,343188.0,1645761.0,64408.0,
525998848,96842,2022-10-09T23:07:25.514Z,2022-10-09T23:07:31.426Z,2022-10-09T21:38:27.537Z,2022-10-09T22:28:54.700Z,-05:00,0,SCORED,13.3584,144.0,182.0,2319.8333,100.0,0.0,0.0,0.0,7691.0,579708.0,627737.0,379714.0,1375634.0,56718.0,
524834309,96842,2022-10-08T02:15:12.244Z,2022-10-08T02:15:17.742Z,2022-10-08T01:20:31.694Z,2022-10-08T01:45:01.536Z,-05:00,0,SCORED,9.9407,143.0,184.0,1110.8126,100.0,0.0,0.0,0.0,42297.0,348032.0,75944.0,374910.0,598896.0,29801.0,
524198361,96842,2022-10-07T01:40:41.993Z,2022-10-07T01:40:47.590Z,2022-10-07T00:34:49.240Z,2022-10-07T01:13:44.260Z,-05:00,0,SCORED,13.1508,154.0,182.0,2121.7852,100.0,0.0,0.0,0.0,0.0,37530.0,379717.0,437396.0,1456382.0,24034.0,
522645683,96842,2022-10-04T14:32:45.101Z,2022-10-04T14:32:50.725Z,2022-10-04T13:11:43.768Z,2022-10-04T13:59:17.897Z,-05:00,0,SCORED,10.58,126.0,177.0,1610.3108,100.0,0.0,0.0,0.0,510494.0,480654.0,641194.0,649845.0,571980.0,0.0,
521582414,96842,2022-10-03T01:52:45.831Z,2022-10-03T01:52:51.622Z,2022-10-03T00:19:51.037Z,2022-10-03T01:18:57.264Z,-05:00,0,SCORED,14.4216,147.0,187.0,2822.7664,100.0,0.0,0.0,0.0,65367.0,606613.0,243211.0,712326.0,1713024.0,205724.0,
520372481,96842,2022-10-01T01:14:47.981Z,2022-10-01T01:14:53.408Z,2022-10-01T00:24:30.428Z,2022-10-01T00:46:07.235Z,-05:00,0,SCORED,10.672,155.0,195.0,1201.6969,100.0,0.0,0.0,0.0,0.0,73099.0,97090.0,255708.0,817115.0,53834.0,
518463196,96842,2022-09-28T01:29:03.036Z,2022-09-28T01:29:08.611Z,2022-09-28T00:15:39.856Z,2022-09-28T00:54:34.862Z,-05:00,0,SCORED,13.7337,159.0,183.0,2282.0974,100.0,0.0,0.0,0.0,0.0,65408.0,80735.0,450851.0,1661146.0,76904.0,
516994911,96842,2022-09-25T17:19:41.035Z,2022-09-25T17:19:46.929Z,2022-09-25T15:41:14.929Z,2022-09-25T16:53:19.831Z,-07:00,0,SCORED,16.7502,158.0,187.0,4174.22,100.0,0.0,0.0,0.0,10574.0,196146.0,213411.0,864216.0,2726245.0,314348.0,
